Crash_Ref_Number,Crash_Severity,Crash_Month,Crash_Month_Num,Crash_Day_Of_Week,Crash_Day_Num,Crash_Hour,Crash_Nature,Crash_Type,Crash_Latitude,Crash_Longitude,Loc_Post_Code,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Count_Unit_Car,DCA_Code,DCA_Description
336867,Hospitalisation,November,11,Thursday,4,16,Rear-end,Multi-Vehicle,-27.44751245,153.125589,4174,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,3,04,Rear-end
336919,Medical treatment,October,10,Wednesday,3,5,Rear-end,Multi-Vehicle,-27.39433945,153.107462,4008,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Crest,3,04,Rear-end
336923,Hospitalisation,October,10,Wednesday,3,13,Head-on,Multi-Vehicle,-27.55878446,153.160166,4156,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,2,02,Head-on
336939,Minor injury,October,10,Tuesday,2,6,Rear-end,Multi-Vehicle,-27.51738945,153.048953,4120,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,04,Rear-end
336966,Medical treatment,November,11,Tuesday,2,13,Rear-end,Multi-Vehicle,-27.61417747,153.236335,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,2,04,Rear-end
337198,Hospitalisation,July,7,Monday,1,16,Sideswipe,Multi-Vehicle,-27.60294444,152.919142,4076,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Level,1,05,Lane Change
337262,Medical treatment,November,11,Friday,5,9,Rear-end,Multi-Vehicle,-27.51537611,152.9561027,4068,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Level,2,04,Rear-end
337403,Hospitalisation,March,3,Tuesday,2,12,Sideswipe,Multi-Vehicle,-27.57668945,153.106152,4123,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,08,Vehicle Leaving Driveway
337470,Hospitalisation,June,6,Monday,1,17,Angle,Multi-Vehicle,-27.50187846,153.175074,4154,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,1,01,Intersection: Adjacent Approach
337633,Minor injury,November,11,Tuesday,2,15,Angle,Multi-Vehicle,-27.51131545,153.040115,4120,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,05,Lane Change
337638,Minor injury,December,12,Friday,5,14,Angle,Multi-Vehicle,-27.38692643,152.8612991,4520,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,01,Intersection: Adjacent Approach
